objname ra dec cutout_size E_B_V_SandF mean_E_B_V_SandF stdev_E_B_V_SandF max_E_B_V_SandF min_E_B_V_SandF AV_SandF E_B_V_SFD mean_E_B_V_SFD stdev_E_B_V_SFD max_E_B_V_SFD min_E_B_V_SFD AV_SFD errmsg
NGC2541 123.66728 49.06193 5.0 0.0428 0.0429 0.0003 0.0433 0.0422 0.1328 0.0498 0.0499 0.0003 0.0504 0.0491 0.1544 ""
NGC3027 148.91794 72.20372 5.0 0.0294 0.0294 0.0016 0.0326 0.0265 0.0911 0.0342 0.0342 0.0019 0.0379 0.0309 0.106 ""
NGC0925 36.82016 33.57912 5.0 0.0653 0.0656 0.0011 0.0686 0.0645 0.2025 0.076 0.0763 0.0012 0.0798 0.075 0.2355 ""
NGC2841 140.5111 50.97661 5.0 0.0133 0.0131 0.0004 0.0142 0.0123 0.0411 0.0154 0.0152 0.0005 0.0165 0.0143 0.0478 ""
NGC3031 148.88822 69.0653 5.0 0.069 0.0689 0.0001 0.0691 0.0686 0.2138 0.0802 0.0801 0.0001 0.0803 0.0798 0.2486 ""
NGC2903 143.04213 21.50083 5.0 0.0267 0.0269 0.0003 0.0279 0.0264 0.0829 0.0311 0.0313 0.0003 0.0325 0.0307 0.0964 ""
NGC2403 114.21374 65.60268 5.0 0.0344 0.0344 0.0001 0.0346 0.0343 0.1065 0.0399 0.04 0.0001 0.0402 0.0399 0.1238 ""
NGC3627 170.06254 12.99161 5.0 0.0287 0.0287 0.0012 0.0314 0.0272 0.089 0.0334 0.0334 0.0014 0.0365 0.0316 0.1035 ""
NGC4736 192.72109 41.12046 5.0 0.0153 0.0155 0.0004 0.0165 0.015 0.0474 0.0178 0.018 0.0004 0.0192 0.0175 0.0552 ""
NGC5055 198.95537 42.02933 5.0 0.0151 0.0153 0.0003 0.0162 0.015 0.0468 0.0175 0.0178 0.0003 0.0189 0.0174 0.0544 ""
NGC4826 194.18196 21.68299 5.0 0.0356 0.0356 0.0005 0.0366 0.0339 0.1104 0.0414 0.0414 0.0006 0.0426 0.0395 0.1283 ""
NGC7331 339.26693 34.41576 5.0 0.0784 0.0783 0.0007 0.0793 0.0757 0.2429 0.0911 0.0911 0.0009 0.0922 0.088 0.2824 ""
NGC7741 355.97669 26.07552 5.0 0.0649 0.0645 0.0009 0.0656 0.0615 0.2011 0.0754 0.075 0.0011 0.0763 0.0715 0.2338 ""
NGC4258 184.7396 47.30397 5.0 0.0139 0.0141 0.0003 0.0148 0.0135 0.0431 0.0161 0.0164 0.0004 0.0172 0.0157 0.0501 ""
NGC4374 186.2656 12.88698 5.0 0.0344 0.034 0.0018 0.0366 0.0303 0.1065 0.04 0.0395 0.0021 0.0426 0.0353 0.1239 ""
NGC4298 185.38653 14.60605 5.0 0.0303 0.0306 0.0004 0.0319 0.0301 0.0941 0.0353 0.0356 0.0005 0.0371 0.035 0.1094 ""
NGC4568 189.14293 11.23903 5.0 0.0279 0.0279 0.0004 0.0283 0.0269 0.0866 0.0325 0.0324 0.0004 0.033 0.0312 0.1007 ""
NGC2787 139.82759 69.20323 5.0 0.1159 0.1136 0.007 0.1288 0.0993 0.3594 0.1348 0.1321 0.0081 0.1497 0.1154 0.4179 ""
NGC4636 190.70761 2.6878 5.0 0.0247 0.0239 0.0006 0.0248 0.0227 0.0765 0.0287 0.0278 0.0007 0.0288 0.0264 0.089 ""
NGC0598 23.46204 30.66022 5.0 0.0356 0.0359 0.0005 0.037 0.0351 0.1102 0.0413 0.0418 0.0006 0.0431 0.0409 0.1282 ""
NGC0864 33.86516 6.00249 5.0 0.0415 0.0416 0.0004 0.0424 0.0408 0.1288 0.0483 0.0483 0.0005 0.0493 0.0474 0.1497 ""
NGC5194 202.46963 47.19521 5.0 0.0302 0.0308 0.0015 0.0362 0.0294 0.0935 0.0351 0.0359 0.0017 0.042 0.0342 0.1088 ""
NGC4293 185.3034 18.38258 5.0 0.034 0.034 0.0004 0.035 0.0334 0.1053 0.0395 0.0395 0.0004 0.0407 0.0388 0.1225 ""
NGC4457 187.24592 3.57057 5.0 0.0187 0.0187 0.0003 0.0193 0.0179 0.0579 0.0217 0.0217 0.0003 0.0225 0.0209 0.0673 ""
NGC4569 189.20753 13.16294 5.0 0.0403 0.0396 0.0011 0.0414 0.0374 0.125 0.0469 0.0461 0.0012 0.0481 0.0435 0.1453 ""
NGC4450 187.12331 17.08503 5.0 0.024 0.0239 0.0004 0.0247 0.0229 0.0744 0.0279 0.0278 0.0004 0.0287 0.0266 0.0866 ""
NGC4580 189.45141 5.36858 5.0 0.0207 0.0205 0.0004 0.0212 0.019 0.0642 0.0241 0.0239 0.0005 0.0246 0.0221 0.0746 ""
NGC4145 182.50625 39.88384 5.0 0.0246 0.0246 0.0002 0.0249 0.024 0.0762 0.0286 0.0286 0.0003 0.029 0.0279 0.0886 ""
NGC6015 237.85536 62.31007 5.0 0.0107 0.0109 0.0002 0.0112 0.0104 0.0333 0.0125 0.0126 0.0002 0.0131 0.0121 0.0387 ""
NGC7177 330.17171 17.73796 5.0 0.0627 0.0629 0.0013 0.0653 0.0603 0.1944 0.0729 0.0731 0.0015 0.0759 0.0702 0.2261 ""
NGC3813 175.3276 36.54681 5.0 0.0163 0.0163 0.0001 0.0165 0.0162 0.0507 0.019 0.019 0.0001 0.0192 0.0188 0.0589 ""
NGC4559 188.99012 27.95996 5.0 0.0151 0.0151 0.0001 0.0153 0.0149 0.0469 0.0176 0.0176 0.0001 0.0178 0.0173 0.0546 ""
NGC5665 218.10741 8.07856 5.0 0.0215 0.0216 0.0001 0.0218 0.0211 0.0668 0.025 0.0251 0.0001 0.0253 0.0246 0.0776 ""
NGC3998 179.48389 55.45359 5.0 0.0144 0.013 0.001 0.0148 0.0113 0.0447 0.0168 0.0151 0.0012 0.0172 0.0132 0.052 ""
NGC3930 177.94191 38.01512 5.0 0.0189 0.0189 0.0001 0.0191 0.0187 0.0586 0.022 0.022 0.0001 0.0223 0.0218 0.0682 ""
NGC4356 186.06018 8.53564 5.0 0.023 0.022 0.0007 0.0233 0.0206 0.0713 0.0267 0.0255 0.0008 0.0271 0.024 0.0829 ""
NGC5645 217.66391 7.27521 5.0 0.0234 0.0233 0.0005 0.0243 0.0224 0.0725 0.0272 0.0271 0.0006 0.0282 0.0261 0.0843 ""
